Apple,carbs-fruits,6.4oz,95,0,25,0,1.52
Banana,carbs-fruits,1med.,105,1,27,1,0.3
Blueberries,carbs-fruits,1/2cup,63,1,11,0,1
Cherries,carbs-fruits,1/2cup,37,1,10,0,2
Grapes,carbs-fruits,1/2cup,52,0,8,0,0.65
Kiwi,carbs-fruits,1/2cup,54,1,13,1,1
Mango,carbs-fruits,1/2cup,54,1,13,0,0.82
Orange,carbs-fruits,5.4oz,42,1,19,0,1
Peach,carbs-fruits,5.3oz,51,1,15,0,1.32
Pear,carbs-fruits,1/2cup,48,0,13,0,0.35
Pineapple,carbs-fruits,1/2cup,37,0,10,1,1.7
Raspberries,carbs-fruits,1/2cup,32,1,7,0,2
Strawberries,carbs-fruits,1/2cup,27,1,5,0,0.8
Watermelon,carbs-fruits,1/2cup,23,1,12,0,2
Baked-Chips,carbs-grains,50grams,120,3,36,9,0.5
lentils,carbs-grains,1/2cup,116,9,20,0,0.38
Beans-black,carbs-grains,1/2cup,114,8,21,1,1.14
Bread,carbs-grains,1slice,75,2,11,1,0.25
Brown-Rice,carbs-grains,1/2cup,130,3,23,1,0.57
Corn,carbs-grains,1/2cup,66,5,31,2,0.38
Granola,carbs-grains,1/2cup,226,5,35,3,1.23
Oats,carbs-grains,1/2cup,150,6,25,2,0.16
Pasta-Wheat,carbs-grains,1/2cup,160,4,19,1,0.28
Peas-black-eye,carbs-grains,1/2cup,60,7,18,1,0.41
Potatoes-sweet,carbs-grains,1/2cup,90,1,14,0,0.44
Rice-Cake,carbs-grains,1cake,35,1,7,0,0.18
Tortillas,carbs-grains,1tortilla,150,6,35,5,0.5
Asparagus,carbs-vegetables,1/2cup,20,2,3,0,1.15
Broccoli,carbs-vegetables,1/2cup,15,1,3,0,0.36
Brussel-Sprouts,carbs-vegetables,1/2cup,28,2,6,0,1.14
Carrots,carbs-vegetables,1/2cup,19,1,6,0,0.17
Cauliflower,carbs-vegetables,1/2cup,12,1,3,0,0.5
Cucumber,carbs-vegetables,1/2cup,8,0,2,0,0.5
Lettuce,carbs-vegetables,1/2cup,4,0.3,0.5,0,0.4
Mushrooms,carbs-vegetables,1/2cup,11,0,2,0,0.5
Onion,carbs-vegetables,1/2cup,34,1,8,0,0.13
Peppers,carbs-vegetables,1/2cup,19,1,4,0,0.75
Spinach,carbs-vegetables,1/2cup,3,0.5,0.6,0,0.26
Tomato,carbs-vegetables,1/2cup,16,1,4,0,0.41
Almonds,fats,1oz,165,6,1,14,0.74
Avocado,fats,1oz,50,1,2,4,0.52
Butter,fats,1tbsp,102,0,0,12,0.4
Canola-Oil,fats,1tbsp,124,0,0,14,0.11
Cashews,fats,1oz,157,5,9,12,0.79
Cheese-(Mozzarella),fats,1oz,79,5,1,5,1.24
Coconut-Oil,fats,1tbsp,121,0,0,14,0.45
Olive-Oil,fats,1tbsp,126,0,0,14,0.165
Peanut-Butter,fats,1tbsp,94,4,3,8,0.12
Peanuts,fats,1oz,161,7,5,14,0.28
Pistachios,fats,1oz,159,6,8,13,0.7
Walnuts,fats,1oz,185,4,4,18,0.48
Beef-(ground)-93/7,proteins,4oz,376,29,0,11,1.75
Chicken-Breast,proteins,4oz,187,35,0,4,2.72
Cottage-Cheese-(1%-fat),proteins,1/2cup,110,16,3,1,0.8
Egg-(large),proteins,1egg,80,6,0,5,0.71
Egg-Whites,proteins,3tbsp,24,5,0,0,0.27
Fish-(Tilapia),proteins,4oz,146,30,0,3,4
Fish-(Tuna-canned-in-water),proteins,3oz,111,18,0,1,1
Greek-Yogurt-(fat-free),proteins,6oz,90,14,10,0,1.07
Ham-(5-fat),proteins,4oz,164,24,0,2,3.73
Pork-Loin,proteins,4oz,274,31,0,17,1.74
Shrimp,proteins,4oz,112,24,0,1,3.67
Steak-(Strip),proteins,4oz,307,27,0,5,4.25
String-Cheese-(low-fat),proteins,1stick,80,7,0,3,0.4
